kata,aspek,sentimen
nya,umum,positif
modern,umum,positif
maskulin,umum,positif
gaya,umum,positif
besi,umum,positif
balok,umum,positif
ekspos,umum,positif
tanamera,umum,netral
roda,umum,netral
dapat,umum,netral
parkir,umum,netral
kendara,umum,netral
luar,umum,netral
maupun,umum,netral
dalam,umum,netral
dalam,umum,netral
masuk,umum,netral
lewat,umum,netral
market,umum,netral
roda,umum,netral
bisa,umum,netral
lalu,umum,netral
belakang,umum,netral
akses,umum,netral
masuk,umum,netral
fairground,umum,netral
masuk,umum,netral
ke,umum,netral
dalam,umum,netral
tanamera,umum,netral
pintu,umum,netral
depan,umum,netral
maupun,umum,netral
belakang,umum,netral
dapat,umum,netral
kursi,umum,netral
makan,umum,netral
anak,umum,netral
kecil,umum,netral
jika,umum,netral
anda,umum,netral
sama,umum,netral
anak,umum,netral
kecil,umum,netral
ruang,umum,netral
luar,umum,netral
di,umum,netral
lantai,umum,netral
maupun,umum,netral
lantai,umum,netral
2,umum,netral
harga,harga,netral
kopi,harga,netral
terlalu,harga,netral
mahal,harga,netral
cita,rasa,positif
rasa,rasa,positif
kopi,rasa,positif
sangat,rasa,positif
enak,rasa,positif
cocok,rasa,positif
kumpul,rasa,positif
teman,rasa,positif
keluarga,rasa,positif
cita,rasa,positif
rasa,rasa,positif
sangat,rasa,positif
kualitas,rasa,positif
dapat,rasa,positif
sop,rasa,positif
buntut,rasa,positif
maupun,rasa,positif
pasta,rasa,positif
tempat,umum,positif
minum,umum,positif
kopi,umum,positif
tenang,umum,positif
kopi,rasa,positif
enak,rasa,positif
makan,rasa,positif
enak,rasa,positif
pegawai,pelayanan,positif
ramah,pelayanan,positif
ramah,pelayanan,positif
bahkan,pelayanan,positif
minta,pelayanan,positif
tawar,pelayanan,positif
potret,pelayanan,positif
luar,umum,negatif
nya,umum,negatif
banyak,umum,negatif
lalat,umum,negatif
makan,rasa,positif
minum,rasa,positif
ok,rasa,positif
bukan,rasa,positif
cinta,rasa,positif
kopi,rasa,positif
coba,rasa,positif
baik,rasa,positif
jual,rasa,positif
nya,rasa,positif
dingin,rasa,positif
putih,rasa,positif
kelapa,rasa,positif
kopi,rasa,positif
nya,rasa,positif
lumayan,rasa,positif
segar,rasa,positif
asa,rasa,positif
susu,rasa,positif
nya,rasa,positif
rasa,rasa,netral
makan,rasa,netral
biasa,rasa,netral
aja,rasa,netral
sen,rasa,netral
bolognese,rasa,netral
hambar,rasa,netral
sekali,rasa,netral
kopi,rasa,positif
enak,rasa,positif
suasana,umum,positif
oke,umum,positif
kopi,rasa,positif
mantap,rasa,positif
kopi,rasa,positif
sini,rasa,positif
jamin,rasa,positif
enak,rasa,positif
betah,rasa,positif
tempat,kenyamanan,positif
nyaman,kenyamanan,positif
buat,kenyamanan,positif
kumpul,kenyamanan,positif
bareng,kenyamanan,positif
teman,kenyamanan,positif
maupun,kenyamanan,positif
keluarga,kenyamanan,positif
bagus,rasa,positif
kopi,rasa,positif
banyak,rasa,positif
pilih,rasa,positif
kopi,rasa,positif
nya,rasa,positif
yang,rasa,positif
kuat,rasa,positif
maupun,rasa,positif
ringan,rasa,positif
single,rasa,positif
juga,rasa,positif
harga,rasa,positif
kisar,rasa,positif
50rb,rasa,positif
rupiah,rasa,positif
minum,rasa,positif
langsung,umum,positif
musik,umum,positif
keren,umum,positif
sih,umum,positif
rekomendasi,umum,positif
makan,rasa,positif
enak,rasa,positif
kopi,rasa,positif
suka,rasa,positif
makan,rasa,positif
minum,rasa,positif
hanya,rasa,positif
barat,rasa,positif
the,rasa,positif
indonesia,rasa,positif
as,rasa,positif
tape,rasa,positif
goreng,rasa,positif
pisang,rasa,positif
goreng,rasa,positif
enak,rasa,positif
nyaman,kenyamanan,positif
good,kenyamanan,positif
suasana,kenyamanan,positif
asik,kenyamanan,positif
buat,kenyamanan,positif
tongkrong,kenyamanan,positif
bahas,kenyamanan,positif
masalah,kenyamanan,positif
receh,kenyamanan,positif
pikir,kenyamanan,positif
negara,kenyamanan,positif
coba,kenyamanan,positif
aja,kenyamanan,positif
cuaca,rasa,positif
emang,rasa,positif
baru,rasa,positif
dingin,rasa,positif
ken,rasa,positif
dingin,rasa,positif
buat,rasa,positif
pasti,rasa,positif
benar,rasa,positif
badan,rasa,positif
butuh,rasa,positif
hangat,rasa,positif
hangat,rasa,positif
lalu,rasa,positif
muncul,rasa,positif
inovasi,rasa,positif
baru,rasa,positif
merah,rasa,positif
yang,rasa,positif
bagus,rasa,positif
dingin,rasa,positif
putih,rasa,positif
jahe,rasa,positif
pertama,rasa,positif
kali,rasa,positif
jujur,rasa,positif
takut,rasa,positif
suka,rasa,positif
lah,rasa,positif
coba,rasa,positif
jadi,rasa,positif
jatuh,rasa,positif
cinta,rasa,positif
menu,rasa,positif
wajib,rasa,positif
ini,rasa,positif
baik,rasa,positif
datar,rasa,positif
putih,rasa,positif
nya,rasa,positif
oke,rasa,positif
tempat,umum,positif
minum,umum,positif
kopi,umum,positif
seru,umum,positif
origin,rasa,positif
enak,rasa,positif
teh,rasa,positif
variasi,rasa,positif
makan,rasa,positif
macam,rasa,positif
layan,pelayanan,positif
ramah,pelayanan,positif
harga,harga,netral
mahal,harga,netral
timpal,harga,netral
makan,rasa,positif
kopi,rasa,positif
enak,rasa,positif
pesan,rasa,positif
sarap,rasa,positif
gratis,rasa,positif
kopi,rasa,positif
suasana,umum,positif
nyaman,umum,positif
buat,rasa,netral
gaul,rasa,netral
luar,rasa,netral
aja,rasa,netral
jangan,rasa,netral
harap,rasa,netral
terlalu,rasa,netral
banyak,rasa,netral
rasa,rasa,netral
makan,rasa,netral
kalau,harga,netral
duduk,harga,netral
minum,harga,netral
kopi,harga,netral
jadi,harga,netral
lupa,harga,netral
diri,harga,netral
kalau,harga,netral
mau,harga,netral
pergi,harga,netral
tempat,harga,netral
malas,harga,netral
bayar,harga,netral
siapa,harga,netral
kapan,harga,netral
bagaimana,harga,netral
terima,umum,positif
kasih,umum,positif
dan,umum,positif
atas,umum,positif
segala,umum,positif
suasana,umum,positif
layan,umum,positif
bagus,umum,positif
tempat,kenyamanan,positif
nyaman,kenyamanan,positif
tenang,kenyamanan,positif
adem,kenyamanan,positif
surabaya,kenyamanan,positif
panas,kenyamanan,positif
buat,kenyamanan,positif
temu,kenyamanan,positif
harga,harga,netral
tengah,harga,netral
tinggi,harga,netral
sangat,kenyamanan,positif
nyaman,kenyamanan,positif
tenang,kenyamanan,positif
cocok,kenyamanan,positif
obrol,kenyamanan,positif
kerja,kenyamanan,positif
tugas,kenyamanan,positif
dulu,umum,positif
cuma,umum,positif
beli,umum,positif
daring,umum,positif
biji,umum,positif
kopi,umum,positif
tanamera,umum,positif
jakarta,umum,positif
alhamdulillah,umum,positif
sekarang,umum,positif
langsung,umum,positif
minum,umum,positif
seduh,umum,positif
tanamera,umum,positif
layan,pelayanan,positif
ramah,pelayanan,positif
kerja,umum,negatif
tugas,umum,negatif
ramah,umum,negatif
bawa,umum,negatif
laptop,umum,negatif
minim,umum,negatif
stopkontak,umum,negatif
tempias,umum,negatif
hujan,umum,negatif
lumayan,umum,negatif
basah,umum,negatif
kopi,rasa,positif
oke,rasa,positif
barista,pelayanan,positif
nya,pelayanan,positif
keren,pelayanan,positif
layan,pelayanan,positif
nya,pelayanan,positif
sopan,pelayanan,positif
layan,pelayanan,positif
nya,pelayanan,positif
sangat,pelayanan,positif
bagus,pelayanan,positif
makan,harga,negatif
harga,harga,negatif
kurang,harga,negatif
sesuai,harga,negatif
sama,harga,negatif
rasa,harga,negatif
saya,harga,negatif
mohon,harga,negatif
tingkat,harga,negatif
pertama,umum,positif
kali,umum,positif
datang,umum,positif
tanamera,umum,positif
sini,umum,positif
belum,umum,positif
biasa,umum,positif
tanamera,umum,positif
jembatan,umum,positif
merah,umum,positif
sini,umum,positif
suasana,umum,positif
asik,umum,positif
utama,umum,positif
di,umum,positif
atas,umum,positif
pandang,umum,positif
langsung,umum,positif
jalan,umum,positif
utama,umum,positif
tengah,umum,positif
luar,umum,positif
teras,umum,positif
nya,umum,positif
keren,umum,positif
hujan,umum,positif
tetap,umum,positif
nyaman,umum,positif
ada,umum,positif
tutup,umum,positif
maupun,umum,positif
luar,umum,positif
estetis,umum,positif
buat,umum,positif
foto,umum,positif
foto,umum,positif
keren,umum,positif
salah,rasa,positif
satu,rasa,positif
tempat,rasa,positif
tongkrong,rasa,positif
makan,rasa,positif
minum,rasa,positif
kualitas,rasa,positif
baik,rasa,positif
makan,rasa,positif
wajib,rasa,positif
coba,rasa,positif
ayam,rasa,positif
sama,rasa,positif
tepun,rasa,positif
enak,rasa,positif
banget,rasa,positif
enak,rasa,positif
banget,rasa,positif
kagum,kenyamanan,positif
suka,kenyamanan,positif
banget,kenyamanan,positif
tempat,kenyamanan,positif
nyaman,kenyamanan,positif
banget,kenyamanan,positif
tempat,kenyamanan,positif
nyaman,kenyamanan,positif
buat,kenyamanan,positif
tongkrong,kenyamanan,positif
makan,rasa,positif
enak,rasa,positif
tempat,umum,positif
tongkrong,umum,positif
keren,umum,positif
tempat,umum,positif
foto,umum,positif
staf,umum,positif
ramah,umum,positif
mantap,rasa,positif
kopi,rasa,positif
nya,rasa,positif
kalau,rasa,positif
mau,rasa,positif
nikmat,rasa,positif
kopi,rasa,positif
enak,rasa,positif
sini,rasa,positif
tempat,rasa,positif
kopi,rasa,positif
moka,rasa,positif
nya,rasa,positif
enak,rasa,positif
baik,umum,positif
suasana,umum,positif
tempat,umum,positif
nyaman,umum,positif
kerja,umum,positif
tongkrong,umum,positif
suara,umum,positif
dan,umum,positif
cahaya,umum,positif
nyaman,umum,positif
cinta,umum,positif
kopi,umum,positif
tau,umum,positif
kualitas,umum,positif
tanamerah,umum,positif
cocok,umum,positif
lari,umum,positif
diri,umum,positif
kantor,umum,positif
dingin,kenyamanan,positif
ruang,kenyamanan,positif
dingin,kenyamanan,positif
tempat,kenyamanan,positif
nyaman,kenyamanan,positif
buka,kenyamanan,positif
malam,kenyamanan,positif
seluruh,kenyamanan,positif
timpal,kenyamanan,positif
menu,rasa,positif
enak,rasa,positif
cuma,pelayanan,negatif
sayang,pelayanan,negatif
layan,pelayanan,negatif
lama,pelayanan,negatif
tempat,umum,positif
enak,umum,positif
kopi,rasa,positif
enak,rasa,positif
tempat,umum,positif
asik,umum,positif
bagus,umum,positif
rasa,rasa,positif
kopi,rasa,positif
nya,rasa,positif
kurang,rasa,positif
enak,rasa,positif
kopi,rasa,positif
putih,rasa,positif
nya,rasa,positif
enak,rasa,positif
baik,rasa,positif
pisang,rasa,positif
goreng,rasa,positif
tawar,rasa,positif
sudah,rasa,positif
kasih,rasa,positif
gula,rasa,positif
halus,rasa,positif
tempat,umum,positif
kumpul,umum,positif
remaja,umum,positif
orang,umum,positif
tua,umum,positif
sini,umum,positif
suasana,umum,positif
oke,umum,positif
banget,umum,positif
harga,harga,netral
premium,harga,netral
makan,rasa,positif
enak,rasa,positif
baik,umum,positif
tempat,umum,positif
enak,rasa,positif
saji,rasa,positif
menu,rasa,positif
tempat,kenyamanan,positif
nyaman,kenyamanan,positif
makan,rasa,positif
nya,umum,positif
besar,umum,positif
luar,umum,positif
kapasitas,umum,positif
kecil,umum,positif
enak,umum,positif
minum,umum,positif
kopi,umum,positif
liat,umum,positif
parkir,umum,positif
mobil,umum,positif
tempat,kenyamanan,positif
nyaman,kenyamanan,positif
makan,rasa,positif
lumayan,rasa,positif
minum,rasa,positif
variasi,rasa,positif
mahal,harga,negatif
rokok,umum,negatif
area,umum,negatif
dua,umum,negatif
lantai,umum,negatif
waktu,umum,negatif
sini,umum,negatif
hujan,umum,negatif
pernah,umum,negatif
bocor,umum,negatif
tempat,kenyamanan,positif
nyaman,kenyamanan,positif
lahan,umum,positif
parkir,umum,positif
sangat,umum,positif
sedia,umum,positif
bagus,umum,positif
nyaman,umum,positif
cocok,umum,positif
anak,umum,positif
muda,umum,positif
mau,umum,positif
tongkrong,umum,positif
sama,umum,positif
teman,umum,positif
sedia,umum,positif
area,umum,positif
luar,umum,positif
maupun,umum,positif
dan,umum,positif
sedia,umum,positif
ruang,umum,positif
bisa,umum,positif
guna,umum,positif
temu,umum,positif
makan,umum,positif
malan,umum,positif
layan,pelayanan,positif
baik,pelayanan,positif
cepat,pelayanan,positif
rasa,rasa,positif
makan,rasa,positif
minum,rasa,positif
enak,rasa,positif
enak,rasa,positif
dingin,rasa,positif
putih,rasa,positif
nya,rasa,positif
enak,rasa,positif
cocok,rasa,positif
nikmat,rasa,positif
sore,rasa,positif
sore,rasa,positif
lihat,rasa,positif
pandang,rasa,positif
macet,rasa,positif
nyaman,kenyamanan,positif
nyaman,kenyamanan,positif
bersih,kenyamanan,positif
cantik,kenyamanan,positif
dingin,kenyamanan,positif
saya,kenyamanan,positif
pikir,kenyamanan,positif
harga,harga,netral
lumayan,harga,netral
tengah,harga,netral
atas,harga,netral
makan,harga,netral
timpal,harga,netral
sini,harga,netral
bikin,harga,netral
betah,harga,netral
kalau,harga,netral
minum,harga,netral
standar,harga,netral
harga,harga,netral
kafe,harga,netral
rata,harga,netral
rata,harga,netral
langsung,umum,positif
musik,umum,positif
kalau,umum,positif
malam,umum,positif
walaupun,umum,positif
hari,umum,positif
biasa,umum,positif
satu,umum,positif
rekomendasi,umum,positif
bagus,umum,positif
potret,umum,positif
kalau,umum,positif
siang,umum,positif
kalau,umum,positif
malam,umum,positif
gelap,umum,positif
sih,umum,positif
kafe,umum,positif
surabaya,umum,positif
enak,kenyamanan,positif
tempat,kenyamanan,positif
buat,kenyamanan,positif
minum,kenyamanan,positif
kopi,kenyamanan,positif
ngerjain,kenyamanan,positif
tugas,kenyamanan,positif
makan,rasa,positif
enak,rasa,positif
harga,harga,netral
lumayan,harga,netral
sih,harga,netral
kopi,rasa,positif
nya,rasa,positif
juara,rasa,positif
tempat,kenyamanan,positif
nyaman,kenyamanan,positif
nyaman,kenyamanan,positif
kopi,rasa,positif
tubruk,rasa,positif
pisang,rasa,positif
goreng,rasa,positif
mantap,rasa,positif
tempat,kenyamanan,positif
duduk,kenyamanan,positif
luar,kenyamanan,positif
nyaman,kenyamanan,positif
atmosfer,kenyamanan,positif
nyaman,kenyamanan,positif
beberapa,umum,netral
kali,umum,netral
datang,umum,netral
pas,umum,netral
akhir,umum,netral
pekan,umum,netral
langsung,umum,netral
ben,umum,netral
ruang,umum,netral
luar,umum,netral
bawah,umum,netral
tempat,umum,positif
bagus,umum,positif
satu,umum,positif
suatu,umum,positif
jenis,umum,positif
yang,rasa,negatif
jadi,rasa,negatif
kurang,rasa,negatif
minum,rasa,negatif
pesan,rasa,negatif
es,rasa,negatif
coklat,rasa,negatif
sangat,rasa,negatif
hambar,rasa,negatif
memang,rasa,negatif
rasa,rasa,negatif
coklat,rasa,negatif
sangat,rasa,negatif
asa,rasa,negatif
ketika,rasa,negatif
coba,rasa,negatif
manis,rasa,negatif
sama,rasa,negatif
sekali,rasa,negatif
ada,rasa,negatif
standar,rasa,negatif
tambah,rasa,negatif
gula,rasa,negatif
layak,rasa,negatif
kopi,rasa,negatif
toko,rasa,negatif
nama,rasa,negatif
jangan,rasa,negatif
jadi,rasa,negatif
murah,rasa,negatif
kamu,rasa,negatif
langgan,rasa,negatif
kamu,rasa,negatif
langgan,rasa,negatif
tidak,rasa,negatif
akan,rasa,negatif
ke,rasa,negatif
sana,rasa,negatif
suasana,umum,positif
nya,umum,positif
bagus,umum,positif
lokasi,umum,positif
banyak,umum,positif
pohon,umum,positif
pohon,umum,positif
hijau,umum,positif
luar,umum,positif
arsitektur,umum,positif
bagus,umum,positif
sih,umum,positif
dalam,umum,positif
biasa,umum,positif
kalau,umum,positif
parkir,umum,positif
masuk,umum,positif
dalam,umum,positif
parkir,umum,positif
lumayan,umum,positif
kena,umum,positif
uang,umum,positif
parkir,umum,positif
mending,umum,positif
parkir,umum,positif
di,umum,positif
luar,umum,positif
dekat,umum,positif
jalan,umum,positif
kopi,rasa,positif
enak,rasa,positif
dingin,rasa,positif
putih,rasa,positif
karamel,rasa,positif
mahal,harga,negatif
botol,harga,negatif
tempat,kenyamanan,positif
luas,kenyamanan,positif
nyaman,kenyamanan,positif
vanila,rasa,positif
kopi,rasa,positif
nya,rasa,positif
baik,rasa,positif
staf,pelayanan,positif
ramah,pelayanan,positif
langsung,umum,netral
musik,umum,netral
sore,umum,netral
jelang,umum,netral
malam,umum,netral
letak,umum,netral
surabaya,umum,netral
barat,umum,netral
belah,umum,netral
dan,umum,netral
graha,umum,netral
kopi,rasa,positif
enak,rasa,positif
menu,rasa,positif
variatif,rasa,positif
harga,harga,netral
lumayan,harga,netral
tempat,umum,positif
nya,umum,positif
bagus,umum,positif
potret,umum,positif
emang,umum,negatif
cepat,umum,negatif
cari,umum,negatif
cuci,umum,negatif
mobil,umum,negatif
cuma,umum,negatif
air,umum,negatif
sela,umum,negatif
spion,umum,negatif
karet,umum,negatif
plat,umum,negatif
nomor,umum,negatif
masih,umum,negatif
keluar,umum,negatif
air,umum,negatif
nya,umum,negatif
mohon,umum,negatif
semprot,umum,negatif
sama,umum,negatif
kompresor,umum,negatif
terima,umum,negatif
kasih,umum,negatif
enak,umum,positif
buat,umum,positif
tongkrong,umum,positif
sama,umum,positif
teman,umum,positif
dua,umum,positif
mantan,umum,positif
layan,pelayanan,negatif
lebih,pelayanan,negatif
ramah,pelayanan,negatif
buah,umum,positif
pilih,umum,positif
kedai,umum,positif
kopi,umum,positif
suasana,umum,positif
elegan,umum,positif
tetap,umum,positif
kini,umum,positif
dengan,umum,positif
cita,umum,positif
rasa,umum,positif
kopi,umum,positif
khas,umum,positif
dapat,umum,positif
pilih,umum,positif
luar,umum,positif
ruang,umum,positif
dan,umum,positif
dengan,umum,positif
iring,umum,positif
musik,umum,positif
kualitas,umum,positif
hari,umum,positif
hari,umum,positif
tentu,umum,positif
tambah,umum,positif
romantis,umum,positif
malam,umum,positif
kurang,umum,positif
suasana,umum,positif
berisik,umum,positif
desain,umum,positif
keren,umum,positif
cocok,umum,positif
foto,umum,positif
cocok,umum,positif
nongkrong,umum,positif
kopi,umum,positif
makan,umum,positif
oke,umum,positif
penting,umum,positif
24jam,umum,positif
buka,umum,positif
khawatir,umum,positif
orang,umum,positif
orang,umum,positif
tidak,umum,positif
tidur,umum,positif
malam,umum,positif
silah,umum,positif
kesini,umum,positif
parkir,umum,positif
mobil,umum,positif
banyak,umum,positif
posisi,umum,positif
belah,umum,positif
market,umum,positif
graha,umum,positif
famili,umum,positif
persis,umum,positif
bos,umum,positif
atas,umum,positif
buka,umum,positif
restoran,umum,positif
tempat,umum,positif
tongkrong,umum,positif
asik,umum,positif
enak,umum,positif
buat,umum,positif
kumpul,umum,positif
sama,umum,positif
temen,umum,positif
sahabat,umum,positif
t4,rasa,positif
nya,rasa,positif
keren,rasa,positif
makan,rasa,positif
juga,rasa,positif
karyawan,pelayanan,negatif
makan,pelayanan,negatif
kayak,pelayanan,negatif
tanya,pelayanan,negatif
tau,pelayanan,negatif
apa,pelayanan,negatif
layan,pelayanan,negatif
buruk,pelayanan,negatif
sekali,pelayanan,negatif
pegawai,pelayanan,negatif
ramah,pelayanan,negatif
sudah,pelayanan,negatif
duduk,pelayanan,negatif
kursi,pelayanan,negatif
suruh,pelayanan,negatif
pindah,pelayanan,negatif
ganti,pelayanan,negatif
kursi,pelayanan,negatif
tidak,pelayanan,negatif
etis,pelayanan,negatif
layan,pelayanan,negatif
payah,pelayanan,negatif
kopi,umum,positif
juga,umum,positif
suasana,rasa,positif
nyaman,rasa,positif
nyaman,kenyamanan,positif
buat,kenyamanan,positif
dar,kenyamanan,positif
obrol,kenyamanan,positif
santai,kenyamanan,positif
tempat,umum,positif
bagus,umum,positif
lantai,umum,positif
atas,umum,positif
rokok,umum,positif
area,umum,positif
kalau,umum,positif
siang,umum,positif
lumayan,umum,positif
panas,umum,positif
kopi,rasa,positif
enak,rasa,positif
layan,pelayanan,negatif
sangat,pelayanan,negatif
lama,pelayanan,negatif
catat,pelayanan,negatif
tambah,pelayanan,negatif
nunggu,pelayanan,negatif
menit,pelayanan,negatif
buat,pelayanan,negatif
sen,pelayanan,negatif
kopi,pelayanan,negatif
akhir,pelayanan,negatif
turun,pelayanan,negatif
sen,pelayanan,negatif
sendiri,pelayanan,negatif
kopi,rasa,positif
enak,rasa,positif
makan,rasa,positif
enak,rasa,positif
tempat,umum,positif
bagus,umum,positif
layan,pelayanan,negatif
kurang,pelayanan,negatif
bagus,pelayanan,negatif
kes,pelayanan,negatif
pegawai,pelayanan,negatif
sombong,pelayanan,negatif
kurang,pelayanan,negatif
peduli,pelayanan,negatif
langgan,pelayanan,negatif
tempat,kenyamanan,positif
sangat,kenyamanan,positif
sangat,kenyamanan,positif
oke,kenyamanan,positif
nyaman,kenyamanan,positif
rekomendasi,kenyamanan,positif
datang,kenyamanan,positif
kalau,kenyamanan,positif
surabaya,kenyamanan,positif
tempat,umum,positif
minum,umum,positif
kopi,umum,positif
populer,umum,positif
desain,umum,positif
minimal,umum,positif
unik,umum,positif
suasana,umum,positif
santai,umum,positif
hitam,umum,positif
merah,umum,positif
jadi,umum,positif
logo,umum,positif
dominan,umum,positif
dalam,umum,positif
bagus,umum,positif
potret,umum,positif
iya,umum,positif
makan,rasa,positif
lumayan,rasa,positif
enak,rasa,positif
baik,rasa,positif
keren,rasa,positif
kopi,rasa,positif
merah,umum,netral
hitam,umum,netral
selalu,umum,netral
jadi,umum,netral
ciri,umum,netral
khas,umum,netral
tanamera,umum,netral
semua,rasa,positif
menu,rasa,positif
kopi,rasa,positif
saji,rasa,positif
gula,rasa,positif
jadi,rasa,positif
minta,rasa,positif
tambah,rasa,positif
simpel,rasa,positif
sirup,rasa,positif
ingin,rasa,positif
lebih,rasa,positif
manis,rasa,positif
makan,rasa,positif
semua,rasa,positif
favorit,rasa,positif
porsinta,rasa,positif
terlalu,rasa,positif
besar,rasa,positif
saya,rasa,positif
makan,rasa,positif
nya,rasa,positif
enak,rasa,positif
harga,harga,netral
nya,harga,netral
tidak,harga,netral
terlalu,harga,netral
mahal,harga,netral
tempat,umum,positif
nya,umum,positif
enak,umum,positif
kok,umum,positif
kalau,pelayanan,negatif
ramai,pelayanan,negatif
layan,pelayanan,negatif
nya,pelayanan,negatif
lama,pelayanan,negatif
lokasi,kenyamanan,positif
nyaman,kenyamanan,positif
obrol,kenyamanan,positif
baik,kenyamanan,positif
maupun,kenyamanan,positif
luar,kenyamanan,positif
layan,pelayanan,positif
cepat,pelayanan,positif
tanggap,pelayanan,positif
harga,harga,netral
standar,harga,netral
saji,rasa,positif
kopi,rasa,positif
cukup,rasa,positif
nikmat,rasa,positif
dapat,rasa,positif
beberapa,rasa,positif
varian,rasa,positif
biji,rasa,positif
kopi,rasa,positif
bisa,rasa,positif
seduh,rasa,positif
manual,rasa,positif
harga,harga,netral
tidak,harga,netral
terlalu,harga,netral
mahal,harga,netral
memang,rasa,positif
hasil,rasa,positif
pernah,rasa,positif
khianat,rasa,positif
proses,rasa,positif
jerih,rasa,positif
payah,rasa,positif
panggang,rasa,positif
john,rasa,positif
bina,rasa,positif
tani,rasa,positif
kopi,rasa,positif
hasil,rasa,positif
kopi,rasa,positif
enak,rasa,positif
bisa,rasa,positif
nikmat,rasa,positif
sini,rasa,positif
menu,rasa,positif
makan,rasa,positif
agam,rasa,positif
rasa,rasa,positif
enak,rasa,positif
model,umum,netral
bangun,umum,netral
unik,umum,netral
dalam,umum,netral
biasa,umum,netral
aja,umum,netral
lokasi,umum,netral
pinggir,umum,netral
jalan,umum,netral
besar,umum,netral
b,harga,negatif
harga,harga,negatif
mahal,harga,negatif
bagus,umum,positif
sesuai,umum,positif
sih,umum,positif
sama,umum,positif
pandang,umum,positif
banget,umum,positif
cuma,harga,negatif
yang,harga,negatif
timpal,harga,negatif
harga,harga,negatif
makan,harga,negatif
sesal,harga,negatif
dong,harga,negatif
buat,harga,negatif
ajar,harga,negatif
aja,harga,negatif
tempat,umum,negatif
tempat,umum,negatif
tongkrong,umum,negatif
kolega,umum,negatif
rekan,umum,negatif
kerja,umum,negatif
parkir,umum,negatif
luas,umum,negatif
toilet,umum,negatif
kotor,umum,negatif
bersih,umum,negatif
rasa,umum,negatif
dingin,umum,negatif
buat,umum,negatif
biasa,umum,negatif
ruang,umum,negatif
dingin,umum,negatif
ruang,umum,negatif
dingin,umum,negatif
kopi,rasa,positif
buruk,rasa,positif
coba,rasa,positif
semua,rasa,positif
sih,rasa,positif
senang,rasa,positif
sama,rasa,positif
camlian,rasa,positif
aku,rasa,positif
sen,rasa,positif
waktu,rasa,positif
sayur,rasa,positif
lumpia,rasa,positif
hias,rasa,positif
kayak,rasa,positif
salad,rasa,positif
enak,rasa,positif
baru,rasa,positif
bersih,rasa,positif
tenggorok,rasa,positif
kopi,rasa,positif
enak,rasa,positif
sayang,umum,negatif
toilet,umum,negatif
nya,umum,negatif
kotor,umum,negatif
sekali,umum,negatif
padahal,umum,negatif
pajak,umum,negatif
layan,umum,negatif
nya,umum,negatif
besar,umum,negatif
sini,umum,negatif
timpal,umum,negatif
sih,umum,negatif
moga,umum,negatif
tingkat,umum,negatif
bersih,umum,negatif
nya,umum,negatif
layan,pelayanan,negatif
staf,pelayanan,negatif
nya,pelayanan,negatif
sangat,pelayanan,negatif
kurang,pelayanan,negatif
baik,pelayanan,negatif
makan,rasa,positif
enak,rasa,positif
nuansa,umum,positif
cakap,umum,positif
layan,pelayanan,positif
oke,pelayanan,positif
harga,harga,netral
cukup,harga,netral
mahal,harga,netral
nyaman,kenyamanan,positif
banget,kenyamanan,positif
langsung,kenyamanan,positif
musik,kenyamanan,positif
menu,kenyamanan,positif
oke,kenyamanan,positif
rasa,kenyamanan,positif
nya,kenyamanan,positif
sayang,kenyamanan,positif
lupa,kenyamanan,positif
ambil,kenyamanan,positif
foto,kenyamanan,positif
lanjut,kenyamanan,positif
waktu,kenyamanan,positif
balik,kenyamanan,positif
d,kenyamanan,positif
d,kenyamanan,positif
d,kenyamanan,positif
kopi,rasa,positif
sangat,rasa,positif
kualitas,rasa,positif
harga,harga,positif
sama,harga,positif
starbucks,harga,positif
kualitas,harga,positif
jauh,harga,positif
atas,harga,positif
tempat,kenyamanan,positif
sangat,kenyamanan,positif
bagus,kenyamanan,positif
nyaman,kenyamanan,positif
ramah,pelayanan,negatif
staf,pelayanan,negatif
perlu,pelayanan,negatif
tingkat,pelayanan,negatif
dingin,rasa,netral
buat,rasa,netral
rasa,rasa,netral
hambar,rasa,netral
camil,rasa,netral
biasa,rasa,netral
aja,rasa,netral
sop,rasa,netral
buntut,rasa,netral
nya,rasa,netral
tempat,kenyamanan,positif
nyaman,kenyamanan,positif
sangat,kenyamanan,positif
santai,kenyamanan,positif
untuk,kenyamanan,positif
obrol,kenyamanan,positif
santai,kenyamanan,positif
minum,kenyamanan,positif
minum,kenyamanan,positif
kopi,kenyamanan,positif
makan,rasa,positif
enak,rasa,positif
kopi,rasa,positif
mantap,rasa,positif
tempat,umum,positif
tongkrong,umum,positif
asik,umum,positif
surabaya,umum,positif
barat,umum,positif
minum,rasa,positif
oke,rasa,positif
harga,harga,positif
jangkau,harga,positif
enak,kenyamanan,positif
buat,kenyamanan,positif
bareng,kenyamanan,positif
sama,kenyamanan,positif
teman,kenyamanan,positif
teman,kenyamanan,positif
wifinya,kenyamanan,positif
tempat,kenyamanan,positif
luas,kenyamanan,positif
nyaman,kenyamanan,positif
layan,pelayanan,positif
baik,pelayanan,positif
cepat,pelayanan,positif
tempat,kenyamanan,positif
oke,kenyamanan,positif
nyaman,kenyamanan,positif
cuma,umum,negatif
musik,umum,negatif
mungkin,umum,negatif
lebih,umum,negatif
fokus,umum,negatif
suasana,umum,negatif
